Trade_Time;open;high;low;close;VOL;VB;VS;Delta_Vol;OI;doi;yurl_l;dyl;yurl_s;dys;yurl_l_num;yurl_s_num;fiz_l;fyl;fiz_s;fys
2022-06-14 10:00:00;116800.0;117180.0;116000.0;116690.0;317;130;187;-57;106070.0;0.0;29012.0;0.0;5574.0;0.0;48.0;31.0;24023.0;0.0;47461.0;0.0
2022-06-14 10:05:00;116410.0;117980.0;116130.0;117770.0;141;100;41;59;105655.0;-415.0;28598.0;-414.0;5625.0;51.0;46.0;33.0;24231.0;208.0;47201.0;-260.0
2022-06-14 10:10:00;117830.0;117980.0;116610.0;116770.0;291;106;185;-79;105829.0;174.0;28583.0;-15.0;5678.0;53.0;44.0;34.0;24331.0;100.0;47237.0;36.0
2022-06-14 10:15:00;116700.0;116700.0;115160.0;115270.0;261;58;203;-145;106286.0;457.0;28608.0;25.0;5831.0;153.0;45.0;37.0;24536.0;205.0;47311.0;74.0
2022-06-14 10:20:00;115210.0;115210.0;114500.0;114850.0;242;99;143;-44;104648.0;-1638.0;28715.0;107.0;5459.0;-372.0;46.0;33.0;23609.0;-927.0;46865.0;-446.0
2022-06-14 10:25:00;114850.0;114850.0;114180.0;114390.0;128;35;93;-58;103928.0;-720.0;28751.0;36.0;5387.0;-72.0;49.0;30.0;23213.0;-396.0;46577.0;-288.0
2022-06-14 10:30:00;114330.0;114450.0;113850.0;113850.0;276;159;117;42;103521.0;-407.0;28828.0;77.0;5444.0;57.0;46.0;34.0;22932.0;-281.0;46317.0;-260.0
2022-06-14 10:35:00;113830.0;113830.0;113140.0;113790.0;317;196;121;75;101604.0;-1917.0;28869.0;41.0;5129.0;-315.0;51.0;29.0;21933.0;-999.0;45673.0;-644.0
2022-06-14 10:40:00;113780.0;114260.0;113720.0;114180.0;319;236;83;153;100446.0;-1158.0;28445.0;-424.0;5123.0;-6.0;50.0;30.0;21778.0;-155.0;45100.0;-573.0
2022-06-14 10:45:00;114180.0;114810.0;114060.0;114100.0;270;83;187;-104;99910.0;-536.0;28273.0;-172.0;5078.0;-45.0;48.0;30.0;21682.0;-96.0;44877.0;-223.0
2022-06-14 10:50:00;114150.0;114880.0;114030.0;114720.0;235;190;45;145;99460.0;-450.0;27977.0;-296.0;5024.0;-54.0;49.0;32.0;21753.0;71.0;44706.0;-171.0
2022-06-14 10:55:00;114600.0;115250.0;114230.0;115220.0;161;94;67;27;99398.0;-62.0;27772.0;-205.0;4994.0;-30.0;50.0;31.0;21927.0;174.0;44705.0;-1.0
2022-06-14 11:00:00;115290.0;115500.0;115220.0;115300.0;293;177;116;61;99346.0;-52.0;27915.0;143.0;5037.0;43.0;50.0;34.0;21758.0;-169.0;44636.0;-69.0
2022-06-14 11:05:00;115190.0;115460.0;115180.0;115450.0;106;56;50;6;99634.0;288.0;28002.0;87.0;5049.0;12.0;49.0;35.0;21815.0;57.0;44768.0;132.0
2022-06-14 11:10:00;115430.0;115440.0;114280.0;114610.0;623;242;381;-139;100234.0;600.0;28247.0;245.0;5055.0;6.0;47.0;34.0;21870.0;55.0;45062.0;294.0
2022-06-14 11:15:00;114500.0;115510.0;114500.0;115510.0;95;63;32;31;100282.0;48.0;28165.0;-82.0;5058.0;3.0;47.0;34.0;21976.0;106.0;45083.0;21.0
2022-06-14 11:20:00;115540.0;116050.0;115340.0;116050.0;192;141;51;90;100172.0;-110.0;28105.0;-60.0;5150.0;92.0;46.0;36.0;21981.0;5.0;44936.0;-147.0
2022-06-14 11:25:00;116050.0;116050.0;115840.0;116000.0;69;30;39;-9;100270.0;98.0;28100.0;-5.0;5184.0;34.0;45.0;36.0;22035.0;54.0;44951.0;15.0
2022-06-14 11:30:00;115980.0;115990.0;115800.0;115940.0;52;26;26;0;100354.0;84.0;28079.0;-21.0;5212.0;28.0;43.0;39.0;22098.0;63.0;44965.0;14.0
2022-06-14 11:35:00;115910.0;116180.0;115910.0;116100.0;38;27;11;16;100512.0;158.0;28110.0;31.0;5343.0;131.0;43.0;38.0;22146.0;48.0;44913.0;-52.0
2022-06-14 11:40:00;116150.0;116200.0;115900.0;115900.0;209;163;46;117;101136.0;624.0;28134.0;24.0;5348.0;5.0;40.0;38.0;22434.0;288.0;45220.0;307.0
2022-06-14 11:45:00;115900.0;116350.0;115890.0;116100.0;305;138;167;-29;100988.0;-148.0;28104.0;-30.0;5347.0;-1.0;42.0;38.0;22390.0;-44.0;45147.0;-73.0
2022-06-14 11:50:00;116110.0;116400.0;116050.0;116380.0;91;68;23;45;101012.0;24.0;28106.0;2.0;5352.0;5.0;39.0;39.0;22400.0;10.0;45154.0;7.0
2022-06-14 11:55:00;116230.0;116430.0;116210.0;116430.0;73;51;22;29;101080.0;68.0;28116.0;10.0;5344.0;-8.0;39.0;38.0;22424.0;24.0;45196.0;42.0
2022-06-14 12:00:00;116270.0;116520.0;116200.0;116320.0;157;92;65;27;101468.0;388.0;28127.0;11.0;5363.0;19.0;39.0;41.0;22607.0;183.0;45371.0;175.0
2022-06-14 12:05:00;116290.0;116320.0;116050.0;116060.0;115;35;80;-45;101445.0;-23.0;28110.0;-17.0;5337.0;-26.0;39.0;41.0;22613.0;6.0;45385.0;14.0
2022-06-14 12:10:00;116040.0;116490.0;115900.0;116420.0;133;29;104;-75;101478.0;33.0;28084.0;-26.0;5359.0;22.0;39.0;44.0;22655.0;42.0;45380.0;-5.0
2022-06-14 12:15:00;116270.0;117000.0;116270.0;117000.0;239;151;88;63;101796.0;318.0;28096.0;12.0;5427.0;68.0;39.0;44.0;22802.0;147.0;45471.0;91.0
2022-06-14 12:20:00;117000.0;117000.0;116910.0;117000.0;114;94;20;74;102030.0;234.0;28094.0;-2.0;5422.0;-5.0;39.0;43.0;22921.0;119.0;45593.0;122.0
2022-06-14 12:25:00;116980.0;117300.0;116940.0;117250.0;217;190;27;163;102338.0;308.0;28098.0;4.0;5441.0;19.0;41.0;42.0;23071.0;150.0;45728.0;135.0
2022-06-14 12:30:00;117180.0;117300.0;116820.0;116880.0;124;57;67;-10;102396.0;58.0;28109.0;11.0;5434.0;-7.0;42.0;41.0;23088.0;17.0;45765.0;37.0
2022-06-14 12:35:00;116930.0;117900.0;116930.0;117900.0;160;141;19;122;102851.0;455.0;28079.0;-30.0;5528.0;94.0;40.0;45.0;23347.0;259.0;45897.0;132.0
2022-06-14 12:40:00;117800.0;118000.0;117220.0;117590.0;239;125;114;11;103232.0;381.0;28107.0;28.0;5540.0;12.0;41.0;42.0;23509.0;162.0;46076.0;179.0
2022-06-14 12:45:00;117620.0;117900.0;117500.0;117770.0;214;99;115;-16;103338.0;106.0;28115.0;8.0;5573.0;33.0;41.0;44.0;23554.0;45.0;46096.0;20.0
2022-06-14 12:50:00;117720.0;118360.0;117690.0;118300.0;176;132;44;88;103604.0;266.0;28182.0;67.0;5636.0;63.0;41.0;45.0;23620.0;66.0;46166.0;70.0
2022-06-14 12:55:00;118350.0;118610.0;117840.0;117950.0;206;101;105;-4;103674.0;70.0;28116.0;-66.0;5620.0;-16.0;42.0;43.0;23721.0;101.0;46217.0;51.0
2022-06-14 13:00:00;117950.0;118030.0;117590.0;117890.0;137;68;69;-1;103666.0;-8.0;28181.0;65.0;5577.0;-43.0;41.0;43.0;23652.0;-69.0;46256.0;39.0
