Trade_Time;yurl_l;yurl_s;yurl_l_num;yurl_s_num;fiz_l;fiz_s;fiz_l_num;fiz_s_num
2022-06-10 12:05:00;26201;5418;43;30;22091;42877;1740;4313
2022-06-10 12:10:00;26282;5420;44;30;22095;42957;1737;4324
2022-06-10 12:15:00;26234;5425;44;30;22221;43030;1749;4328
2022-06-10 12:20:00;26327;5419;47;30;22310;43218;1763;4322
2022-06-10 12:25:00;26484;5428;47;30;22516;43580;1755;4321
2022-06-10 12:30:00;26568;5423;44;32;22326;43471;1716;4353
2022-06-10 12:35:00;26684;5436;44;32;22375;43623;1711;4390
2022-06-10 12:40:00;26769;5450;44;32;22373;43692;1729;4389
2022-06-10 12:45:00;26866;5532;45;34;22653;43985;1734;4369
2022-06-10 12:50:00;26956;5522;46;34;22648;44082;1736;4399
2022-06-10 12:55:00;27015;5480;43;35;22815;44350;1725;4415
2022-06-10 13:00:00;26961;5437;43;34;22899;44423;1723;4403
2022-06-10 13:05:00;26966;5431;43;36;23012;44547;1722;4422
2022-06-10 13:10:00;26974;5443;44;30;23081;44612;1720;4375
2022-06-10 13:15:00;27015;5451;42;31;23119;44683;1736;4386
2022-06-10 13:20:00;27080;5434;45;29;23119;44765;1726;4401
2022-06-10 13:25:00;27122;5430;47;30;23174;44866;1728;4436
2022-06-10 13:30:00;27314;5400;50;27;23040;44954;1662;4431
2022-06-10 13:35:00;27403;5414;48;28;23084;45073;1689;4445
2022-06-10 13:40:00;27470;5402;49;28;23238;45306;1713;4474
2022-06-10 13:45:00;27663;5333;52;25;23374;45703;1692;4404
2022-06-10 13:50:00;27821;5330;51;26;23499;45990;1695;4444
2022-06-10 13:55:00;27934;5333;51;24;23391;45992;1690;4434
2022-06-10 14:00:00;27934;5335;51;25;23391;46005;1688;4436
2022-06-10 14:05:00;28229;5391;51;24;23694;46532;1707;4464
2022-06-10 14:10:00;28435;5382;52;24;23581;46631;1674;4488
2022-06-10 14:15:00;28503;5381;50;25;23669;46791;1680;4494
2022-06-10 14:20:00;28632;5386;51;24;23722;46968;1692;4499
2022-06-10 14:25:00;28691;5389;51;24;23824;47126;1696;4533
2022-06-10 14:30:00;28717;5396;50;25;23908;47229;1695;4549
2022-06-10 14:35:00;28748;5432;51;27;24019;47336;1704;4545
2022-06-10 14:40:00;29056;5471;52;27;24227;47812;1706;4535
2022-06-10 14:45:00;29116;5444;52;25;24125;47799;1683;4534
2022-06-10 14:50:00;29130;5448;51;26;24061;47743;1666;4560
2022-06-10 14:55:00;29127;5456;50;27;24091;47762;1673;4555
2022-06-10 15:00:00;29177;5509;52;27;24036;47704;1642;4574
2022-06-10 15:05:00;29213;5501;49;28;23931;47643;1642;4571
2022-06-10 15:10:00;29235;5487;50;27;23971;47719;1650;4561
2022-06-10 15:15:00;29258;5516;49;27;23950;47692;1645;4540
2022-06-10 15:20:00;29313;5470;50;28;24074;47917;1650;4573
2022-06-10 15:25:00;29373;5469;52;28;24109;48013;1648;4572
2022-06-10 15:30:00;29344;5469;51;27;24122;47997;1631;4588
2022-06-10 15:35:00;29371;5457;52;26;24046;47958;1615;4585
2022-06-10 15:40:00;29361;5460;51;27;24091;47992;1631;4591
2022-06-10 15:45:00;29422;5448;54;25;24055;48029;1630;4607
2022-06-10 15:50:00;29424;5452;53;26;24087;48059;1619;4613
2022-06-10 15:55:00;29501;5450;54;25;24029;48080;1619;4596
2022-06-10 16:00:00;29516;5479;52;27;24068;48105;1615;4599
2022-06-10 16:05:00;29597;5466;51;27;24018;48149;1619;4608
2022-06-10 16:10:00;29607;5458;52;26;24035;48184;1615;4614
2022-06-10 16:15:00;29572;5505;51;28;24153;48219;1627;4618
2022-06-10 16:20:00;29560;5504;51;28;24174;48230;1636;4612
2022-06-10 16:25:00;29612;5507;52;27;24139;48243;1617;4624
2022-06-10 16:30:00;29503;5539;51;28;24204;48168;1617;4613
2022-06-10 16:35:00;29495;5548;50;29;24272;48219;1617;4613
2022-06-10 16:40:00;29436;5550;50;29;24357;48243;1621;4610
2022-06-10 16:45:00;29362;5562;50;29;24498;48298;1618;4618
2022-06-10 16:50:00;29369;5558;50;29;24582;48393;1608;4623
2022-06-10 16:55:00;29395;5540;52;27;24634;48489;1609;4626
2022-06-10 17:00:00;29340;5558;51;29;24733;48516;1598;4604
2022-06-10 17:05:00;29294;5586;51;29;25140;48849;1604;4608
2022-06-10 17:10:00;29378;5583;51;29;25022;48817;1584;4624
2022-06-10 17:15:00;29408;5628;50;30;25297;49077;1579;4619
2022-06-10 17:20:00;29516;5546;53;27;25308;49278;1570;4596
2022-06-10 17:25:00;29503;5557;51;29;25365;49311;1568;4599
2022-06-10 17:30:00;29461;5557;51;28;25466;49370;1566;4606
2022-06-10 17:35:00;29437;5590;51;29;25470;49317;1571;4605
2022-06-10 17:40:00;29360;5613;50;31;25562;49309;1576;4601
2022-06-10 17:45:00;29195;5556;51;28;25627;49266;1580;4593
2022-06-10 17:50:00;29121;5557;53;28;25705;49269;1582;4592
2022-06-10 17:55:00;29082;5562;50;29;25773;49293;1576;4584
2022-06-10 18:00:00;29060;5568;50;30;25716;49208;1563;4587
2022-06-10 18:05:00;29061;5559;52;29;25711;49213;1558;4584
2022-06-10 18:10:00;29030;5614;50;31;25772;49188;1559;4555
2022-06-10 18:15:00;29126;5570;52;27;25498;49054;1564;4546
2022-06-10 18:20:00;29052;5581;51;28;25390;48861;1554;4531
2022-06-10 18:25:00;28903;5631;49;31;25553;48826;1532;4520
2022-06-10 18:30:00;28872;5689;49;31;25545;48728;1521;4495
2022-06-10 18:35:00;28929;5529;50;25;24830;48230;1513;4431
2022-06-10 18:40:00;28980;5551;49;27;24332;47761;1470;4381
2022-06-14 10:00:00;29012;5574;48;31;24023;47461;1501;4343
2022-06-14 10:05:00;28598;5625;46;33;24231;47201;1594;4275
2022-06-14 10:10:00;28583;5678;44;34;24331;47237;1698;4285
2022-06-14 10:15:00;28608;5831;45;37;24536;47311;1777;4315
2022-06-14 10:20:00;28715;5459;46;33;23609;46865;1836;4246
2022-06-14 10:25:00;28751;5387;49;30;23213;46577;1878;4209
2022-06-14 10:30:00;28828;5444;46;34;22932;46317;1879;4218
2022-06-14 10:35:00;28869;5129;51;29;21933;45673;1914;4183
2022-06-14 10:40:00;28445;5123;50;30;21778;45100;1990;4072
2022-06-14 10:45:00;28273;5078;48;30;21682;44877;1976;4060
2022-06-14 10:50:00;27977;5024;49;32;21753;44706;1981;4027
2022-06-14 10:55:00;27772;4994;50;31;21927;44705;2011;4012
2022-06-14 11:00:00;27915;5037;50;34;21758;44636;2012;4018
2022-06-14 11:05:00;28002;5049;49;35;21815;44768;2046;4027
2022-06-14 11:10:00;28247;5055;47;34;21870;45062;2014;4047
2022-06-14 11:15:00;28165;5058;47;34;21976;45083;2020;4034
2022-06-14 11:20:00;28105;5150;46;36;21981;44936;2059;3998
2022-06-14 11:25:00;28100;5184;45;36;22035;44951;2065;3985
2022-06-14 11:30:00;28079;5212;43;39;22098;44965;2089;4001
2022-06-14 11:35:00;28110;5343;43;38;22146;44913;2090;3986
2022-06-14 11:40:00;28134;5348;40;38;22434;45220;2076;3999
2022-06-14 11:45:00;28104;5347;42;38;22390;45147;2040;4028
2022-06-14 11:50:00;28106;5352;39;39;22400;45154;2045;4040
2022-06-14 11:55:00;28116;5344;39;38;22424;45196;2035;4039
